Vehicle_id,Pullin_time,Route_sequence,If_turnaround,Vehicle_type,Pullout_time
1,14400.0,2.0,0.0,2.0,95000.0
2,18000.0,1.0,0.0,2.0,95000.0
3,18000.0,2.0,0.0,2.0,95000.0
4,21600.0,1.0,0.0,2.0,95000.0
5,22800.0,1.0,0.0,2.0,95000.0
6,22800.0,2.0,0.0,2.0,95000.0
7,26400.0,1.0,0.0,2.0,95000.0
8,27600.0,1.0,0.0,2.0,95000.0
9,27600.0,2.0,0.0,2.0,95000.0
10,31200.0,1.0,0.0,2.0,95000.0
11,32400.0,1.0,0.0,2.0,95000.0
12,32400.0,2.0,0.0,2.0,95000.0
13,39600.0,1.0,0.0,2.0,95000.0
14,39600.0,2.0,0.0,2.0,95000.0
15,40800.0,1.0,0.0,2.0,95000.0
16,42000.0,1.0,0.0,2.0,95000.0
17,46800.0,1.0,0.0,2.0,95000.0
18,46800.0,2.0,0.0,2.0,95000.0
19,51600.0,2.0,0.0,2.0,95000.0
20,54000.0,1.0,0.0,2.0,95000.0
21,54000.0,2.0,0.0,2.0,95000.0
22,55200.0,2.0,0.0,2.0,95000.0
23,58800.0,1.0,0.0,2.0,95000.0
24,58800.0,2.0,0.0,2.0,95000.0
25,60000.0,2.0,0.0,2.0,95000.0
26,63600.0,1.0,0.0,2.0,95000.0
27,63600.0,2.0,0.0,2.0,95000.0
28,64800.0,2.0,0.0,2.0,95000.0
29,67200.0,1.0,0.0,2.0,95000.0
30,68400.0,2.0,0.0,2.0,95000.0
31,72000.0,1.0,0.0,2.0,95000.0
32,72000.0,2.0,0.0,2.0,95000.0
33,79200.0,1.0,0.0,2.0,95000.0
34,79200.0,2.0,0.0,2.0,95000.0
